fid,b3_h_50p,b3_h_70p,b3_h_max,b3_h_min,b3_dd_id,identificatie,b3_pand_deel_id,b3_bag_bag_overlap,b3_n_vlakken,b3_pw_onvoldoende,b3_t_run,b3_h_nok,b3_n_nok,b3_extrusie,b3_is_glas_dak,b3_dak_type,b3_h_maaiveld,b3_kas_warenhuis,b3_mutatie_ahn3_ahn4,b3_mutatie_ahn4_ahn5,b3_nodata_fractie_ahn3,b3_nodata_fractie_ahn4,b3_nodata_fractie_ahn5,b3_nodata_radius_ahn3,b3_nodata_radius_ahn4,b3_nodata_radius_ahn5,b3_opp_buitenmuur,b3_opp_dak_plat,b3_opp_dak_schuin,b3_opp_grond,b3_opp_scheidingsmuur,b3_puntdichtheid_ahn3,b3_puntdichtheid_ahn4,b3_puntdichtheid_ahn5,b3_pw_bron,b3_pw_datum,b3_pw_selectie_reden,b3_rmse_lod12,b3_rmse_lod13,b3_rmse_lod22,b3_val3dity_lod12,b3_val3dity_lod13,b3_val3dity_lod22,b3_volume_lod12,b3_volume_lod13,b3_volume_lod22,b3_bouwlagen,b3_kwaliteitsindicator,begingeldigheid,documentdatum,documentnummer,eindgeldigheid,eindregistratie,geconstateerd,oorspronkelijkbouwjaar,status,tijdstipeindregistratielv,tijdstipinactief,tijdstipinactieflv,tijdstipnietbaglv,tijdstipregistratie,tijdstipregistratielv,voorkomenidentificatie,roof_area,solar_irradiance,h_dak_max,shading_factor,energy_potential,orientation,suitability_score,suitability_class,rank,geometry
10235043,19.1777324676514,19.8456230163574,22.1179637908936,16.5698776245117,0,NL.IMBAG.Pand.0363100012164938,0,0.0,107.0,False,4000,21.6068840026855,43.0,standard,False,slanted,1.09300005435944,False,False,False,0.00629942351952195,0.0294196493923664,0.01326899882406,0.229215830564499,0.00603220099583268,0.0,10521.740234375,714.609985351562,4002.59008789062,5399.8701171875,0.0,11.749662399292,34.4133110046387,17.7161102294922,ahn5,2023,PREFERRED_AND_LATEST,1.35043513774872,1.35043513774872,0.236343085765839,[],[],[102],69048.8515625,69048.8515625,66810.2109375,,False,2023-09-21,2023-09-21,GV00007167_AC00AC,,,False,1782,Pand in gebruik,,,,,2023-09-21 17:19:05+00:00,2023-09-21 17:57:49+00:00,3,3251.1853370754857,854.63,10.0,0.0,555712.1049249645,180.37724711592674,99.95808365378592,Excellent,1,"POLYGON ((122486.7891 486376.75, 122486.1094 486379.125, 122444.5625 486367.0625, 122441.4922 486377.5938, 122439.8672 486377.125, 122431.7109 486405.0938, 122433.3672 486405.5938, 122430.4375 486415.6563, 122431.1016 486415.3438, 122430.8438 486416.25, 122471.9141 486428.1875, 122471.2266 486430.5313, 122486.25 486434.875, 122486.9219 486432.5625, 122496.62133818155 486435.3858891212, 122496.25340907634 486379.50612392725, 122486.7891 486376.75))"
10234130,16.6806640625,18.3537578582764,20.9474925994873,2.44092464447021,0,NL.IMBAG.Pand.0363100012171135,0,0.0,57.0,False,565,20.691089630127,14.0,standard,False,slanted,0.558000028133392,False,False,False,0.0285799354314804,0.0640071481466293,0.040488239377737,0.13119101524353,0.0,0.0,2069.53002929688,369.540008544922,838.909973144531,839.830017089844,317.690002441406,18.9384002685547,32.0368957519531,14.4449272155762,ahn5,2023,PREFERRED_AND_LATEST,3.55864834785461,2.09961128234863,0.464918822050095,[],[],[],14910.935546875,14036.4033203125,12883.8916015625,5.0,True,2023-10-05,2023-10-05,GV00007191_AC00AC,,,False,1985,Pand in gebruik,,,,,2023-10-05 17:10:33+00:00,2023-10-05 17:46:09+00:00,2,839.8786962905403,854.5423792301408,10.0,0.0,143542.38787856544,184.25523796199923,99.52719578200009,Excellent,2,"POLYGON ((121659.2344 486676.1875, 121659.2422 486676.25, 121664.7266 486675.6875, 121664.8203 486675.5625, 121673.1563 486674.6563, 121679.1328 486674.0938, 121685.0703 486673.5, 121685.1484 486673.5313, 121683.5859 486652.5313, 121677.4219 486653.1563, 121677.6328 486656.8438, 121672.2344 486657.3438, 121672.0391 486653.6563, 121663.8047 486654.3125, 121664.0234 486657.4375, 121651.8594 486658.6563, 121651.9063 486659.375, 121647.6641 486659.625, 121647.4688 486657.6563, 121640.1875 486658.0938, 121640.5625 486661.9375, 121641.8438 486678.125, 121653.7344 486676.75, 121659.2344 486676.1875))"
10234087,23.500617980957,25.4210147857666,26.8899993896484,5.18946695327759,0,NL.IMBAG.Pand.0363100012171126,0,0.0,28.0,False,281,,0.0,standard,False,slanted,0.560999989509583,False,False,False,0.00942184124141932,0.0162740908563137,0.0535331889986992,0.0660986602306366,0.0,0.0,2330.23999023438,691.919982910156,31.7999992370605,584.010009765625,359.709991455078,22.3017730712891,30.9795379638672,15.3828058242798,ahn5,2023,PREFERRED_AND_LATEST,6.20378923416138,2.28255581855774,0.80515456199646,[],[],[],14382.767578125,13190.4677734375,12372.337890625,,True,2024-04-11,2024-04-11,GV00007331_GV00GM,,,False,1748,Pand in gebruik,,,,,2024-04-15 12:35:43+00:00,2024-04-15 12:35:51+00:00,5,584.1021671901627,854.5427209159685,10.0,0.0,99828.05104871913,184.7596844587155,99.47114617125384,Excellent,3,"POLYGON ((121619.8359 486612.6875, 121611.7109 486612.3438, 121611.4609 486616.7813, 121611.7188 486616.7813, 121611.7734 486617.5, 121608.6094 486617.7188, 121608.6797 486616.4688, 121605.7109 486616.2813, 121605.7188 486615.9688, 121605.2891 486615.9688, 121604.3672 486615.9375, 121604.6641 486616.0625, 121604.9063 486616.2813, 121605.0781 486616.5625, 121605.1563 486616.9063, 121604.7891 486626.3125, 121602.3203 486642.9688, 121605.1797 486643.4063, 121604.9766 486644.5938, 121611.0078 486644.9375, 121611.3828 486649.4688, 121614.0781 486649.25, 121614.2109 486650.3125, 121619.5938 486650.625, 121623.0859 486650.4688, 121619.9531 486612.8438, 121619.8047 486612.8438, 121619.8359 486612.6875))"
10218157,16.0386486053467,16.5441608428955,18.9473514556885,4.70913314819336,0,NL.IMBAG.Pand.0363100012171128,0,0.0,53.0,False,674,18.7185916900635,12.0,standard,False,slanted,0.551999986171722,False,False,False,0.0226879455149174,0.0178811773657799,0.0261488184332848,0.0868267863988876,0.0,0.0,1801.71997070312,392.570007324219,1183.56994628906,1300.51000976562,1371.71997070312,13.8689746856689,25.5137042999268,15.4985189437866,ahn5,2023,PREFERRED_AND_LATEST,2.82967185974121,1.68640887737274,0.716667771339417,[],[],[303],20807.033203125,19929.294921875,18965.0078125,,False,2023-10-05,2023-10-05,GV00007191_AC00AC,,,False,1719,Pand in gebruik,,,,,2023-10-05 17:10:26+00:00,2023-10-05 17:45:58+00:00,4,1300.743354100128,854.5426104374621,10.0,0.0,222308.12426438072,174.66485085180148,99.40720565020017,Excellent,4,"POLYGON ((121578.6484 486641.9688, 121582.8828 486642.3125, 121583.1563 486638.9688, 121584.4375 486637.8125, 121584.8438 486633.75, 121579.6797 486633.25, 121581.9844 486614.5313, 121563.5938 486613.2188, 121561.8125 486628.4375, 121555.8594 486627.9688, 121554.9375 486636.2188, 121554.6953 486637.625, 121547.3828 486636.8438, 121546.875 486641.2813, 121553.9297 486642, 121553.3906 486647.5938, 121559.3281 486648.1563, 121558.6016 486656.8438, 121557.1328 486675.5938, 121559.9844 486675.8125, 121560.5391 486676.375, 121560.5313 486676.5, 121569.8828 486677.4063, 121569.8906 486677.3125, 121570.6094 486676.8125, 121573.4219 486677.125, 121576.1797 486647.5938, 121578.0859 486647.8125, 121578.6484 486641.9688))"
10218191,16.6646842956543,17.9304809570312,25.6264801025391,7.03479909896851,0,NL.IMBAG.Pand.0363100012171127,0,0.0,52.0,False,698,25.6845359802246,7.0,standard,False,slanted,0.527999997138977,False,False,False,0.0139308106154203,0.0178778730332851,0.0250754579901695,0.0448421686887741,0.0,0.0,1919.55004882812,956.309997558594,247.470001220703,1076.93005371094,1217.58996582031,17.5314331054688,27.6643028259277,14.5206003189087,ahn5,2023,PREFERRED_AND_LATEST,5.57122802734375,0.928604245185852,0.409173399209976,[],[],[],18741.119140625,15278.8017578125,15003.5810546875,5.0,True,2023-10-05,2023-10-05,GV00007191_AC00AC,,,False,1898,Pand in gebruik,,,,,2023-10-05 17:10:26+00:00,2023-10-05 17:45:56+00:00,4,1076.9928085952208,854.5426531572007,10.0,0.0,184067.25841763706,174.4442931645258,99.38269924050287,Excellent,5,"POLYGON ((121584.8438 486633.75, 121584.4375 486637.8125, 121583.1563 486638.9688, 121582.8828 486642.3125, 121578.6484 486641.9688, 121578.0859 486647.8125, 121575.3984 486678.0625, 121585.75 486679.0313, 121589.2031 486643.5313, 121594.8594 486643.9375, 121602.0703 486644.625, 121604.7891 486626.3125, 121605.1563 486616.9375, 121605.0938 486616.625, 121605.0078 486616.4375, 121604.8906 486616.2813, 121604.7344 486616.125, 121604.5625 486616, 121604.3672 486615.9375, 121603.9297 486615.9063, 121604.2109 486611.9063, 121588.2266 486610.8438, 121587.9375 486614.9063, 121581.9844 486614.5313, 121579.6797 486633.25, 121584.8438 486633.75))"
10218178,16.1799087524414,16.1883716583252,17.0100898742676,4.52154731750488,0,NL.IMBAG.Pand.0363100012168171,0,0.0,41.0,False,484,13.5411987304688,2.0,standard,False,slanted,0.864000022411346,False,False,False,0.00272798119112849,0.0031176928896457,0.00233826972544193,0.0281126797199249,0.0,0.0,1600.07995605469,635.630004882812,48.3600006103516,641.359985351562,401.480010986328,16.5752239227295,32.3096160888672,37.0796890258789,ahn5,2023,PREFERRED_AND_LATEST,4.23859739303589,1.10332822799683,0.54565042257309,[],[],[],9830.92578125,8736.6591796875,8426.3525390625,4.0,True,2023-09-28,2023-09-28,GV00007182_AC00AC,,,False,1983,Pand in gebruik,,,,,2023-09-28 18:49:54+00:00,2023-09-28 21:31:30+00:00,3,641.2868931652292,854.540957159056,10.0,0.0,109601.18309979446,174.32387164098225,99.36931907122025,Excellent,6,"POLYGON ((121450.0703 486832.9375, 121451.3438 486820.2813, 121453.1484 486802.125, 121460.0391 486790.9688, 121450.6172 486785.125, 121443.4688 486796.7813, 121440.8672 486801, 121432.4297 486809.9375, 121433.8438 486816.7813, 121439.0859 486819.0625, 121439.0703 486819.7188, 121439.0156 486819.75, 121438.5781 486823.75, 121437.8281 486831.5625, 121438.125 486831.5938, 121438.1094 486831.75, 121450.0703 486832.9375))"
10234912,17.5733089447021,19.7946548461914,24.7924652099609,4.71002149581909,0,NL.IMBAG.Pand.0363100012181859,0,0.0,29.0,False,333,21.5479907989502,7.0,standard,False,slanted,1.25499999523163,False,False,False,0.0307231172919273,0.0112401647493243,0.00487073790282011,0.0,0.0,0.0,1651.43994140625,338.290008544922,514.559997558594,667.349975585938,565.530029296875,9.88944721221924,41.6809387207031,14.9638557434082,ahn5,2023,PREFERRED_AND_LATEST,7.64561367034912,1.34467792510986,0.514674663543701,[],[],[],12366.3095703125,9392.779296875,8920.244140625,,True,2021-10-06,2021-10-06,SA00792837_OV01GM,,,False,1902,Pand in gebruik,,,,,2021-10-07 12:16:35+00:00,2021-10-07 12:21:49+00:00,4,667.324555855015,854.6153569596293,10.0,0.0,114061.16270199195,187.8127291740562,99.13191898066043,Excellent,7,"POLYGON ((122181.0156 486595.125, 122181.3984 486598.1563, 122183.5547 486597.875, 122183.5781 486598.0625, 122190.6172 486597.125, 122190.5938 486596.9063, 122203.7266 486595.0938, 122203.75 486595.3125, 122207.4609 486594.8125, 122207.4297 486594.5938, 122209.2188 486594.375, 122209.25 486594.5938, 122210.7813 486594.375, 122207.0938 486567.5, 122206.8594 486567.5313, 122206.8359 486567.3438, 122197.1172 486568.6563, 122198.0781 486575.7188, 122191.5781 486576.625, 122190.5547 486579.1875, 122184.6641 486576.8125, 122183.7734 486579.0313, 122182.7578 486578.625, 122181.875 486580.8125, 122177.5938 486579.0938, 122174.6875 486586.4063, 122174.4688 486586.3125, 122174.1328 486587.1563, 122174.9844 486587.5, 122175.1484 486587.0938, 122180.8594 486589.3125, 122181.2813 486588.2188, 122183 486588.875, 122182.5078 486590.125, 122183.1016 486594.75, 122181.4453 486594.9688, 122181.4453 486595.25, 122181.0156 486595.125))"
10217770,31.1368618011475,33.2566795349121,46.0092811584473,7.86493015289307,0,NL.IMBAG.Pand.0363100012168111,0,0.0,133.0,False,1918,30.7382888793945,9.0,standard,False,slanted,0.804000020027161,False,False,False,0.0033494106028229,0.0125937834382057,0.0100482311099768,0.0814989432692528,0.0,0.0,7323.93017578125,1619.76000976562,682.989990234375,1865.80004882812,1894.0,18.1669578552246,42.8987770080566,37.9152793884277,ahn5,2023,PREFERRED_AND_LATEST,6.93829393386841,1.84943306446075,1.40621674060822,[],[],[],60606.375,53991.33203125,53250.24609375,,True,2023-10-15,2023-10-15,GV00007204_AC00AC,,,False,1900,Pand in gebruik,,,,,2023-10-15 14:37:33+00:00,2023-10-15 15:16:15+00:00,2,1865.5059910148639,854.5431064613318,10.0,0.0,318831.05693681346,188.56841083255662,99.04795435193816,Excellent,8,"POLYGON ((121331.6641 486541.0625, 121331.5625 486540.5625, 121330.0313 486533.1563, 121330.3672 486532.875, 121330.3438 486532.75, 121329.9063 486532.4688, 121329.7891 486532.5, 121329.6328 486532.9063, 121329.1797 486533, 121329.3281 486533.7813, 121325.8594 486534.5, 121325.9531 486535.0313, 121329.3594 486551.8438, 121325.6406 486557.375, 121322.7422 486557.9688, 121314.0469 486559.9688, 121315.9844 486568.25, 121310.5781 486569.4063, 121310.8672 486570.75, 121311.4063 486573.0313, 121313.4922 486581.6563, 121313.6719 486581.625, 121314.1094 486583.5, 121321.8516 486581.7188, 121324.0391 486593.9688, 121322.6719 486594.2188, 121322.9063 486595.8125, 121322.4688 486596, 121331.7344 486641.9375, 121332.5 486645.9063, 121333.0469 486645.8438, 121333.0625 486645.9688, 121334.9375 486645.6563, 121334.8203 486644.9375, 121337.6641 486644.4688, 121337.7813 486645.2188, 121338.7891 486645.0625, 121338.6641 486644.2188, 121345.0078 486643.2188, 121345.1406 486644.0313, 121349.1172 486643.4063, 121349.3906 486643.6875, 121349.4531 486643.75, 121349.6094 486643.7188, 121349.8828 486643.2813, 121349.8672 486643.125, 121349.4844 486642.875, 121341.7813 486591.75, 121341.7109 486591.25, 121341.9688 486590.9375, 121341.9531 486590.8438, 121341.5078 486590.5, 121341.3984 486590.5313, 121339.1406 486577.8125, 121339.2734 486577.75, 121339.5703 486577.2813, 121339.5625 486577.1563, 121339.0625 486576.875, 121334.5391 486554.9688, 121334.6016 486554.9688, 121334.5 486554.4375, 121334.4297 486554.4688, 121331.6641 486541.0625))"
